Year;Month;Day;Hour;Week;;"TUOTANTO (MWh)
Production";"VESIVOIMA (MWh)
Hydro Power";"TUULIVOIMA (MWh)
Wind Power";"AURINKOVOIMA (MWh)
Solar Power";"YDINVOIMA (MWh)
Nuclear Power";"YHTEISTUOTANTO (MWh)
CHP";"KAUKOLÄMPÖVOIMA (MWh)
CHP-District heating";"TEOLLISUUSVOIMA (MWh)
CHP-Industry";"ERILLINEN LÄMPÖVOIMA (MWh)
Separate Thermal Power
";"TUONTI (MWh)
Import";"VIENTI (MWh)
Export";"KULUTUS (MWh)
Consumption"
2021;1;1;1;53;;7413.798;1578.182;223.661;0.000;2799.991;2560.460;1464.002;1096.458;251.505;3798.512;-1013.260;10199.051
2021;1;1;2;53;;7323.945;1578.102;204.378;0.000;2799.068;2498.485;1405.828;1092.657;243.912;3441.931;-868.990;9896.885
2021;1;1;3;53;;7234.600;1495.558;212.415;0.000;2791.571;2491.719;1389.267;1102.453;243.336;2987.785;-624.525;9597.860
2021;1;1;4;53;;7175.144;1453.802;196.472;0.000;2782.677;2502.351;1394.490;1107.862;239.842;2845.106;-581.585;9438.665
2021;1;1;5;53;;7205.842;1502.965;190.349;0.000;2773.451;2494.568;1391.718;1102.850;244.510;2768.674;-566.345;9408.171
2021;1;1;6;53;;7172.585;1481.206;185.727;0.000;2764.345;2493.751;1389.333;1104.419;247.555;2847.028;-560.250;9459.363
2021;1;1;7;53;;7282.217;1549.182;209.261;0.000;2755.252;2513.670;1409.748;1103.922;254.852;2915.586;-563.105;9634.697
2021;1;1;8;53;;7441.031;1669.987;211.008;0.000;2745.569;2527.660;1424.214;1103.446;286.807;2976.274;-778.815;9638.490
2021;1;1;9;53;;7525.107;1755.449;188.336;0.000;2736.530;2548.453;1430.112;1118.341;296.340;3155.650;-828.760;9851.997
2021;1;1;10;53;;7537.376;1771.015;146.807;1.447;2726.946;2599.668;1484.408;1115.260;291.491;3158.927;-746.160;9950.142
2021;1;1;11;53;;7667.396;1846.930;133.902;4.442;2718.249;2669.956;1553.397;1116.559;293.918;2984.686;-682.175;9969.907
2021;1;1;12;53;;7767.845;1927.680;124.598;7.293;2709.299;2709.847;1590.836;1119.011;289.128;3341.461;-984.820;10124.486
2021;1;1;13;53;;7805.626;1900.779;119.206;6.781;2700.235;2785.442;1657.428;1128.014;293.183;3437.176;-1014.465;10228.337
2021;1;1;14;53;;7788.639;1850.882;110.728;3.657;2690.675;2835.485;1707.801;1127.684;297.212;3481.825;-1014.530;10255.935
2021;1;1;15;53;;7845.770;1902.266;115.471;1.988;2681.736;2843.065;1731.191;1111.874;301.245;3577.239;-1014.365;10408.644
2021;1;1;16;53;;7925.002;1998.793;113.869;0.984;2672.501;2877.789;1774.718;1103.071;261.065;3759.939;-1014.305;10670.636
2021;1;1;17;53;;8087.198;2097.311;86.298;0.081;2669.815;2985.777;1884.329;1101.447;247.916;3864.708;-1014.260;10937.646
2021;1;1;18;53;;8273.491;2174.463;89.399;0.000;2727.735;3028.963;1938.229;1090.734;252.931;3734.571;-1014.335;10993.727
2021;1;1;19;53;;8345.726;2239.081;105.406;0.000;2744.031;3002.736;1908.121;1094.616;254.472;3666.020;-1014.360;10997.386
2021;1;1;20;53;;8256.409;2166.916;84.286;0.000;2787.189;2964.671;1879.343;1085.328;253.346;3772.448;-1014.395;11014.463
2021;1;1;21;53;;8087.028;2072.601;70.593;0.000;2796.229;2889.103;1809.053;1080.051;258.502;3751.369;-1014.345;10824.052
2021;1;1;22;53;;7755.973;1857.313;75.787;0.000;2798.351;2757.619;1678.498;1079.121;266.903;3742.439;-1014.325;10484.087
2021;1;1;23;53;;7623.350;1836.708;68.665;0.000;2799.705;2634.027;1555.443;1078.584;284.245;4028.976;-1014.320;10638.006
2021;1;1;24;53;;7453.999;1739.032;72.060;0.000;2799.607;2554.477;1477.031;1077.446;288.824;3972.437;-1014.430;10412.006
2021;1;2;1;53;;7287.225;1585.314;69.866;0.000;2800.322;2546.044;1470.792;1075.252;285.679;3748.585;-1014.360;10021.450
2021;1;2;2;53;;7086.749;1486.069;51.496;0.000;2799.891;2462.785;1376.821;1085.964;286.508;3342.298;-752.930;9676.117
2021;1;2;3;53;;7134.776;1543.804;32.416;0.000;2800.200;2481.434;1394.410;1087.024;276.922;3067.590;-764.820;9437.546
2021;1;2;4;53;;7055.724;1463.349;43.003;0.000;2800.454;2477.061;1390.919;1086.142;271.858;2892.732;-591.210;9357.245
2021;1;2;5;53;;7097.329;1483.993;56.654;0.000;2800.293;2475.827;1392.986;1082.841;280.562;2852.902;-588.585;9361.646
2021;1;2;6;53;;7165.707;1519.125;76.757;0.000;2799.989;2484.087;1390.697;1093.390;285.750;3045.265;-744.885;9466.087
2021;1;2;7;53;;7356.039;1635.595;92.198;0.000;2799.282;2536.361;1447.415;1088.947;292.603;3122.771;-793.640;9685.170
2021;1;2;8;53;;7501.978;1707.993;89.744;0.000;2799.864;2610.553;1509.391;1101.162;293.823;3281.887;-1003.745;9780.120
2021;1;2;9;53;;7594.633;1742.681;103.135;0.000;2799.402;2648.441;1547.417;1101.024;300.974;3521.039;-1014.340;10101.332
2021;1;2;10;53;;7750.228;1736.759;121.366;1.444;2799.423;2782.431;1665.196;1117.235;308.806;3506.040;-1014.435;10241.834
2021;1;2;11;53;;7876.285;1752.629;148.696;4.557;2799.020;2869.873;1753.056;1116.817;301.510;3504.785;-1014.385;10366.685
2021;1;2;12;53;;7972.309;1788.514;169.664;7.333;2799.527;2901.277;1787.733;1113.544;305.995;3534.935;-1014.380;10492.864
2021;1;2;13;53;;8120.043;1782.193;222.254;6.912;2799.789;3008.385;1893.108;1115.278;300.510;3452.623;-1014.390;10558.276
2021;1;2;14;53;;8231.846;1826.116;281.541;3.781;2799.841;3020.284;1908.381;1111.904;300.281;3370.077;-1014.335;10587.588
2021;1;2;15;53;;8293.314;1845.767;312.242;2.023;2799.719;3030.472;1913.664;1116.808;303.092;3460.817;-1014.260;10739.871
2021;1;2;16;53;;8453.922;1870.067;386.301;1.018;2799.623;3090.621;1961.388;1129.233;306.292;3620.737;-1014.295;11060.365
2021;1;2;17;53;;8649.490;1980.954;431.392;0.140;2799.440;3077.875;1962.702;1115.173;359.690;3716.242;-1014.300;11351.433
2021;1;2;18;53;;8970.815;2198.780;465.312;0.000;2799.271;3083.521;1981.849;1101.672;423.930;3518.369;-1014.335;11474.849
2021;1;2;19;53;;8996.561;2210.449;488.985;0.000;2799.962;3089.992;1981.975;1108.018;407.173;3569.746;-1014.375;11551.932
2021;1;2;20;53;;8886.100;2112.547;508.501;0.000;2799.795;3071.246;1975.465;1095.781;394.012;3587.497;-1014.340;11459.257
2021;1;2;21;53;;8627.313;1884.921;526.284;0.000;2800.151;3054.845;1962.460;1092.385;361.112;3591.409;-1014.350;11204.372
2021;1;2;22;53;;8475.463;1809.493;586.051;0.000;2799.731;2958.789;1859.530;1099.259;321.400;3312.721;-1014.325;10773.859
